"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00021407","上海煤氣有限公司","南投縣竹山鎮延祥里集山路３段５０巷４號","null","0561207","南投縣竹山鎮延祥里集山路３段５０巷４號","482912,352000,474213,760999","02-AUG-20","","","","",""
"01517102","旭然國際股份有限公司","雲林縣斗六市科工一路5號","417420000","0741105","雲林縣斗六市虎溪里科工一路５號","339999,,,","02-AUG-20","4556","其他","2020-08-26 00:00:00.0","BRIGHT SHELAND INTERNATIONAL,MICRO-FLOW,MSV,WOUND FINE,ELECTRON-FINE,UPW-FLOW,TKV,DJ-P,EXTRA-FLOW,BSI,FILTRAFINE,TECH-FLOW,CLEAR-FINE,IDV,IDV-DOE,PLEATED-FLOW,","2019-11-22"
"01632530","萬朝興實業有限公司","苗栗縣苑裡鎮中正里13鄰90-4號","null","0740921","苗栗縣苑裡鎮中正里１３鄰９０─４號","193099,457299,,","02-AUG-20","","","","",""
"01884606","祐鋒實業股份有限公司","彰化縣芳苑鄉後寮村工區四路9號","29394000","0731113","彰化縣芳苑鄉後寮村工區四路９號","303099,312200,254411,259100","02-AUG-20","","","","",""
"02486752","興霖食品股份有限公司","南投縣南投市永豐里工業北路5號","263739820","0740902","南投縣南投市永豐里工業北路５號","089212,089211,681112,454999","02-AUG-20","","","","霖,富,康健麵道,五木  霖,MIAN-DASHY,SHIANG-CHWAN,COLOR HOUSE,ITSUKI,TOMEI,一食之選勁拌香麵,鄉傳,WU-MU,一食之選,五木健康美味生活蒸泡麵,太郎五木,WAKEUP,鄉傳國民拉麵,威卡,SINLIN,五木健康美味生活最家麵煮角,Q,SUN-MU,台灣鹿港納財麵線,銀絲,上木,SHIN-MU,鄉傳蒸好麵,搶好麵,喫味,田園頌,舞色工坊,五木,WU-MU FIELD SONG,新木,CHY-WEY,LUKUNG THIN NOODLE NACAI,五木田園頌,麵大師,SHIANG-CHUAN,SING-LIN FOODS,五木霖,WU MU,BEST CHOICE,霖興霖食品,三木,","2019-11-22"
"02922446","富哲工業工程有限公司","苗栗縣竹南鎮大厝里13鄰18號之1","null","0740612","苗栗縣竹南鎮大厝里１３鄰１８之１號","252211,293311,293800,","02-AUG-20","","","","",""
"02922620","國弘玻璃股份有限公司","苗栗縣竹南鎮佳興里4鄰環市路三段521號","5000000","0740516","苗栗縣竹南鎮佳興里環市路３段５２１號","231100,456917,451099,","02-AUG-20","","","","",""
"02923959","泰珊企業有限公司","苗栗縣頭份市民生里11鄰新立東街8巷8號","0","0740910","苗栗縣頭份市民生里１１鄰新立東街８巷８號","458299,231911,462012,462013","02-AUG-20","","","","",""
"02925838","德一食品工業股份有限公司","苗栗縣竹南鎮崎頂里仁愛路1445號","25000000","0740222","苗栗縣竹南鎮崎頂里仁愛路１５鄰１４４５號","089111,083012,,","02-AUG-20","","","","SUNKING,卡賀,台灣沙琪瑪卡賀,卡賀德一,卡賀原野香,漢帝屋,卡賀一口酥,卡賀米果子,","2019-11-22"
"02926920","光亮紙業股份有限公司","苗栗縣造橋鄉朝陽村4鄰朝陽路41之1號","16000000","0700616","苗栗縣造橋鄉朝陽村４鄰朝陽路４１－１號","461599,152099,151299,461999","02-AUG-20","","","","",""
"03088401","中國衛生材料生產中心股份有限公司","彰化縣彰化市福田里彰南路6段424巷21號","76800000","0551019","彰化縣彰化市福田里彰南路６段４２４巷２１號","200599,457113,475113,457112","02-AUG-20","","","","SUREPORE,FREEPORE,PURAIR,我型我色,博拭,妙奇膜,MAGIPORE,FENG FUH,舒怡安,W,WIPE LAB,CSD,速癒膜,敷宜膜,中衛,MY COLOR MY STYLE,不倒翁,豐富,","2019-11-22"
"03324806","恆誼化工股份有限公司","苗栗縣頭份市自強路忠孝巷8號4樓之4","398000000","0500531","苗栗縣頭份市自強里１４鄰自強路忠孝巷８號４樓之４","183011,183012,199099,","02-AUG-20","","","","介好肥,介讚肥,穀豐,億多肥,","2019-11-22"
"04378391","宏衡實業股份有限公司","苗栗縣頭份市蘆竹里中華路442號","122000000","0620601","苗栗縣頭份市蘆竹里１６鄰中華路４４２號","183011,451099,,","02-AUG-20","","","","宜農,祥寶,祥寶真黑粒肥,宏衡,HHC,宜農黑粒,宜寶,宜農肥王,","2019-11-22"
"04380087","合眾紙業股份有限公司","雲林縣林內鄉林中村瑞農65號","1035300000","0620508","雲林縣林內鄉林中村瑞農路６５號","159999,151100,159111,152099","02-AUG-20","","","","UNIONEX,愛果,佳梨,佳好,環山,福有,優潔,富農,合眾,佳園,佳田,金玉田,富園,貓頭鷹,UPC,","2019-11-22"
"04518506","民章企業股份有限公司","南投縣南投市同源路二街34巷18號","41000020","0720106","南投縣南投市平山里同源路二街３４巷１８號","233300,410013,,","02-AUG-20","","","","",""
"04625576","桂冠圖書股份有限公司","苗栗縣三灣鄉三灣村中山路2號","12568500","0640422","苗栗縣三灣鄉三灣村１２鄰中山路２號","581311,,,","02-AUG-20","","","","",""
"04654157","怡原系統股份有限公司","雲林縣莿桐鄉大美村大美路21-3號1樓","20000000","0660528","桃園市中壢區中正里興仁路２段４８８巷２７號１．２樓","464299,464211,464999,456199","02-AUG-20","","","","",""
"04680198","慶順國際股份有限公司","雲林縣土庫鎮埤腳里9鄰埤腳118之2號","10000000","0611222","雲林縣土庫鎮埤腳里９鄰埤腳１１８－２號１樓","291900,,,","02-AUG-20","","","","",""
"04713281","緯西企業股份有限公司","彰化縣芬園鄉彰南路二段356巷7號","212678860","0631024","彰化縣芬園鄉縣庄村彰南路２段３５６巷７號","251199,259999,319099,455111","02-AUG-20","","","","LAMICELL,LAMI CELL,","2019-11-22"
"04723020","蓁利化學工業股份有限公司","雲林縣古坑鄉田心村田心77號","5000000","0640304","雲林縣古坑鄉田心村００７鄰田心７７號","184199,434012,461400,","02-AUG-20","","","","屋保,保寶屋,POP,","2019-11-22"
