"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00005700","大中福國企業有限公司","基隆市仁愛區南榮路131號","0","0560222","基隆市仁愛區誠仁里南榮路１３１號","461311,461999,439099,711111","02-AUG-20","","","","",""
"00103408","自立鐵工廠股份有限公司","基隆市中正區信三路28巷3號","20000000","0541006","基隆市中正區港通里信三路２８巷３號","292999,232100,812999,782000","02-AUG-20","","","","",""
"00146877","欣隆天然氣股份有限公司","基隆市信義區信一路57號4樓","600000000","0610419","基隆市信義區義幸里信一路５７號４樓","352000,422016,456912,681112","02-AUG-20","8370","其他","2020-08-26 00:00:00.0","欣隆,","2019-11-22"
"00291479","華新行實業股份有限公司","基隆市中正區港通里義一路210號2樓","25000000","0561027","基隆市中正區港通里義一路２１０號２樓","433115,433211,681111,681112","02-AUG-20","","","","",""
"00371109","新峰機械工業股份有限公司","基隆市安樂區武訓街73號","100000000","0550827","基隆市安樂區內寮里武訓街７３號","292200,252100,311011,340017","02-AUG-20","","","","新峰機械工業股份有限公司,新峰機械,SHIN FONG SF,SHIN FONG MECHANICAL INDUSTRY CORP LTD S F,","2019-11-22"
"00410308","台昇電業有限公司","基隆市仁愛區忠二路4號2樓","0","0570308","基隆市仁愛區新店里忠二路４號２樓","340012,,,","02-AUG-20","","","","",""
"00654438","大順鑄造股份有限公司","基隆市基金一路339號","26520000","0611219","基隆市安樂區新崙里基金一路３３９號","241213,241212,243200,259999","02-AUG-20","","","","",""
"00668524","人祥印刷文具股份有限公司","基隆市仁愛區孝二路93巷11號","1000000","0630715","基隆市仁愛區新店里孝二路９３巷１１號１樓","160100,476111,681111,681112","02-AUG-20","","","","",""
"00676587","泰祥重機械有限公司","基隆市中山區中山三路153巷29號","null","0641212","基隆市中山區和平里中山三路１５３巷２９號１樓","439099,771999,381111,464999","02-AUG-20","","","","",""
"00688129","三中精機有限公司","基隆市安樂區武訓街34號","null","0651214","基隆市安樂區中崙里武訓街３４號","340012,,,","02-AUG-20","","","","",""
"00694852","九重機械工業股份有限公司","基隆市安樂區武訓街57號","12000000","0630627","基隆市安樂區內寮里武訓街５７號","681112,340012,241212,481014","02-AUG-20","","","","",""
"00698914","正健機械工程有限公司","基隆市暖暖區源遠路38號5樓","null","0670111","基隆市暖暖區源遠路３８號５樓","311014,340012,293917,433212","02-AUG-20","","","","",""
"00700019","國昌綜合工廠有限公司","基隆市七堵區泰安路111-1號1樓","0","0610927","基隆市七堵區泰安路１１１－１號","262000,273013,269911,","02-AUG-20","","","","GWO CHANG H O,恩旺,N ONE NATURE MAIFANITE PURE MINERAL WATER,N,恩旺麥飯石純正礦泉水,","2019-11-22"
"00700094","德威工業股份有限公司","基隆市暖暖區八堵里3鄰源遠路7號","5000000","0611106","基隆市暖暖區八堵里源遠路７號","461516,461400,,","02-AUG-20","","","","",""
"00701381","良家企業有限公司","基隆市信義區仁壽里義4路19號","null","0621002","基隆市信義區仁壽里義四路１９號","461511,252299,456111,434011","02-AUG-20","","","","",""
"00703022","榮進食品工業有限公司","基隆市七堵區自強路124號","0","0630909","基隆市七堵區自強路１２４號","454114,454400,681112,","02-AUG-20","","","","",""
"00711466","玉坤機械工程有限公司","基隆市仁愛區書院里華六街21號8樓","0","0681108","基隆市仁愛區書院里華六街２１號８樓","292999,293599,293999,461599","02-AUG-20","","","","",""
"00711851","吉信衡器廠有限公司","基隆市七堵區瑪東里大同街8-1號","0","0681120","基隆市七堵區瑪東里大同街８─１號","464914,464999,275115,","02-AUG-20","","","","",""
"00725200","天日製造工業股份有限公司","基隆市七堵區八德路21號1樓","10000000","0710707","基隆市七堵區八德路２１號１樓","464211,681112,474213,649999","02-AUG-20","","","","",""
"00728115","大新化學金屬有限公司","基隆市七堵區八德路21號","null","0500718","基隆市七堵區八德路２１號１樓","285912,322000,681112,456512","02-AUG-20","","","","",""
"00759897","長興造船股份有限公司","基隆市中正區中正路377號","10001000","0640611","基隆市中正區中濱里中正路３７７號","311011,311012,311013,340012","02-AUG-20","","","","",""
"00765407","和平船舶工程有限公司","基隆市中正區正船里中船路5巷20號2樓","0","0651006","基隆市中正區正船里中船路５巷２０號２樓","340012,292999,433115,525911","02-AUG-20","","","","",""
