"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"03564729","台灣矢崎股份有限公司","屏東縣鹽埔鄉洛陽村四維路4號","100000000","0930810","屏東縣鹽埔鄉洛陽村四維路４號","303011,303012,303099,","02-AUG-20","","","","",""
"04410343","嘉美工業股份有限公司","嘉義縣太保市嘉太工業區中興路5號","20000000","0621013","嘉義縣太保市過溝里１５鄰嘉太工業區中興路５號","289099,681112,,","02-AUG-20","","","","","2019-11-22"
"04465819","啟坤科技股份有限公司","嘉義縣民雄鄉興南村工業一路3號","418829190","0650518","嘉義縣民雄鄉興南村３鄰工業一路３號","331111,259999,458299,464999","02-AUG-20","6731","其他","2020-08-26 00:00:00.0","",""
"04474578","大興茶葉有限公司","嘉義市林森里18鄰忠孝路346巷11號","null","0660604","嘉義市東　區林森里忠孝路３４６巷１１號","089512,454811,461211,462017","02-AUG-20","","","","老山,女兒紅,老山野生茶,老山茗茶,大興,崑崙一夜香,老山膨固力,瑾山,","2019-11-22"
"06234552","速達興業股份有限公司","嘉義縣水上鄉水上村嘉朴路137巷1號","40000000","0741109","嘉義縣水上鄉水上村１４鄰嘉朴路１３７巷１號","462099,462011,462099,","02-AUG-20","","","","",""
"06236539","三詰股份有限公司","嘉義縣民雄鄉北斗村成功街45號","16600000","0740719","嘉義縣民雄鄉北斗村成功街４５號","251111,251199,249100,","02-AUG-20","","","","三詰,SAN JYE,","2019-11-22"
"06281956","農家樂股份有限公司","嘉義縣竹崎鄉鹿滿村水景頭13號","15300000","0740724","嘉義縣竹崎鄉鹿滿村９鄰水景頭１３號","220999,456211,456311,","02-AUG-20","","","","優質人生,傑瑞醫生,COMFORT LIFE,VANDINO,DR.JERRY,一實在一,","2019-11-22"
"06285600","欣架有限公司","嘉義縣新港鄉大潭村大潭120號","null","0741128","嘉義縣新港鄉大潭村６鄰大潭１２０號","322000,456211,461515,","02-AUG-20","","","","",""
"06723030","豊典企業有限公司","屏東縣里港鄉塔樓村塔樓路34-8號","null","0741009","屏東縣里港鄉塔樓村塔樓路３４－８號","453999,087000,464999,454514","02-AUG-20","","","","",""
"07686809","韓頓工業股份有限公司","屏東縣內埔鄉豐田村建富路12號","9200000","0710511","屏東縣內埔鄉豐田村建富路１２號","251113,,,","02-AUG-20","","","","",""
"07992883","台灣有明食品股份有限公司","屏東縣長治鄉德和村神農路18號","250000000","0740518","屏東縣長治鄉德和村神農路１８號","089918,089211,084099,454999","02-AUG-20","","","","ARIAKE,愛里客,","2019-11-22"
"07993638","復進企業股份有限公司","屏東縣內埔鄉豐田村建業路1號","190000000","0741004","屏東縣內埔鄉豐田村建業路１號","081211,081216,081111,","02-AUG-20","","","","F J,","2019-11-22"
"07995087","里一實業有限公司","屏東縣屏東市安鎮里和生路3段993號","0","0740905","屏東縣屏東市安鎮里和生路３段９９３號","233200,060014,469112,","02-AUG-20","","","","",""
"08031982","弘盟汽車修護股份有限公司","屏東縣東港鎮興東里沿海路80號","5200000","0740617","屏東縣東港鎮興東里沿海路８０號","484111,951199,,","02-AUG-20","","","","",""
"08056358","川田水產機械有限公司","屏東縣枋寮鄉天時村復興路78巷9號","0","0740603","屏東縣枋寮鄉天時村復興路７８巷９號","464999,,,","02-AUG-20","","","","CHUAN TIEN,川田,","2019-11-22"
"08056929","裕瑋鋁業股份有限公司","屏東縣九如鄉東寧村東寧路15之2號","120000000","0740830","屏東縣九如鄉東寧村東寧路１５－２號","461511,242112,242311,242211","02-AUG-20","","","","YU WEI YW ALUMINUM,","2019-11-22"
"08058399","二禮企業有限公司","屏東縣潮州鎮三星里三林路80號","0","0741231","屏東縣潮州鎮三星里三林路８０號","456999,454999,469922,353011","02-AUG-20","","","","",""
"12601576","鈺電通建設開發有限公司","嘉義市永福三街21號1樓","null","0890818","嘉義市西　區磚??里永福三街２１號１樓","670012,731099,456999,461515","02-AUG-20","","","","",""
"12601838","仟總實業有限公司","屏東縣東港鎮興東里明禮三街76號","0","0890818","屏東縣東港鎮興東里明禮三街７６號","461515,,,","02-AUG-20","","","","",""
"12605193","千輪國際股份有限公司","屏東縣長治鄉德和村園南路6號","22500000","0890825","屏東縣長治鄉德和村園南路６號","454112,453999,453112,454399","02-AUG-20","","","","",""
"12605216","晶都傢俱有限公司","嘉義縣水上鄉下寮村中山路三段562號","0","0890825","嘉義縣水上鄉下寮村中山路３段５６２號","474211,456211,,","02-AUG-20","","","","",""
"12608558","尹康企業有限公司","屏東縣萬巒鄉佳和村2鄰光明路21號1樓","0","0890830","屏東縣萬巒鄉佳和村２鄰光明路２１號２樓","457299,193099,,","02-AUG-20","","","","",""
"12611527","悠尼克興業有限公司","嘉義縣民雄鄉中央村田中央17-4號","0","0890904","嘉義縣民雄鄉中央村００５鄰田中央１７─４號","220212,220999,461915,485299","02-AUG-20","","","","",""
"12614340","旭峰木業有限公司","嘉義市西區保安里世賢路一段580巷43號","null","0890908","嘉義市西　區保安里世賢路１段５８０巷４３號１樓","461111,461113,140111,140200","02-AUG-20","","","","",""
"12614897","進育機械工業股份有限公司","嘉義市後湖里保義路251號","100000000","0890911","嘉義市東　區後湖里保義路２５１號","254999,242312,,","02-AUG-20","","","","",""
"12617249","宏哲鋼管傢俱工業有限公司","嘉義縣朴子市仁和里小槺榔74號","0","0890915","嘉義縣朴子市仁和里小?榔７４號","322000,,,","02-AUG-20","","","","SB,","2019-11-22"
"12617373","成晟工業有限公司","嘉義市東區後湖里保忠三街六二巷六二號","null","0890915","嘉義市東　區後湖里保忠三街６２巷６２號１樓","291299,291900,303099,312200","02-AUG-20","","","","",""
"12617727","曜智實業股份有限公司","嘉義縣太保市過溝里嘉太工業區中興路11號","160000000","0890915","嘉義縣太保市過溝里嘉太工業區中興路１１號","114011,220111,455111,473111","02-AUG-20","","","","",""
"12618660","朝能興業股份有限公司","屏東縣屏東市清溪里和生路二段462號1樓","20000000","0890918","屏東縣屏東市清溪里和生路二段４６２號１樓","454399,454112,453112,","02-AUG-20","","","","",""
"12620309","富美佳實業有限公司","嘉義縣太保市新埤里新埤339號","null","0890920","嘉義縣太保市新埤里１３鄰新埤３３９號１樓","457299,193099,456799,193012","02-AUG-20","","","","GT GOLDEN TIME,流金歲月,","2019-11-22"
"12620954","茂盛開發股份有限公司","嘉義縣新港鄉中山路135號","16000000","0890921","嘉義縣新港鄉宮前村２３鄰中山路１３５號","670011,239999,390011,382111","02-AUG-20","","","","",""
"12622290","晨欣食品有限公司","屏東縣萬巒鄉佳和村5鄰佳興路77-5號","0","0890925","屏東縣萬巒鄉佳和村５鄰佳興路７７－５號","083014,454113,454999,","02-AUG-20","","","","食漬然,晨欣,","2019-11-22"
"12625698","國際山形企業有限公司","屏東縣屏東市大連里德豐街140巷60號","null","0890929","屏東縣屏東市大連里１１鄰德豐街１４０巷６０號","464921,,,","02-AUG-20","","","","",""
"12625830","吉霆建設科技有限公司","嘉義市東區吳鳳南路365巷1弄27號","0","0890929","嘉義市東　區頂寮里吳鳳南路３６５巷１弄２７號１樓","456199,433113,670012,812100","02-AUG-20","","","","",""
"12625938","葳錦興業股份有限公司","屏東縣屏東市大洲里屏東加工出口區10鄰南一路2號","60000000","0890929","屏東縣屏東市大洲里南一路２號","474919,293919,,","02-AUG-20","","","","",""
"12634063","侑歐國際娛樂有限公司","嘉義縣六腳鄉六南村六腳216號","0","0891016","嘉義縣六腳鄉六南村２１６號","602014,,,","02-AUG-20","","","","",""
"12637272","嘉鉞不銹鋼有限公司","嘉義縣民雄鄉北斗村中正路50號","null","0891019","嘉義縣民雄鄉北斗村２６鄰中正路５０號","254911,254411,,","02-AUG-20","","","","",""
"12647763","崇德開發營造工程有限公司","嘉義市東區新店里林森東路269巷1弄13號1樓","0","0891104","嘉義市東　區新店里林森東路２６９巷１弄１３號１樓","410099,434011,,","02-AUG-20","","","","",""
"12660786","成果科技股份有限公司","嘉義縣太保市南新里南埤路48號","70000000","0891031","嘉義縣太保市南新里１２鄰南埤路４８號","277911,474924,483112,332900","02-AUG-20","","","","",""
"12703167","葳盛精密工業有限公司","嘉義縣太保市梅埔里四鄰梅子厝32號　","null","0891114","嘉義縣太保市梅埔里４鄰梅子厝３２號","291299,,,","02-AUG-20","","","","",""
"12706565","嘉美固企業有限公司","嘉義縣六腳鄉六斗村142號","0","0891121","嘉義縣六腳鄉六斗村１４２號","254911,254411,461512,","02-AUG-20","","","","",""
"12707282","宥盛營造有限公司","嘉義市西區湖邊里文化路559-11號1樓","null","0891122","嘉義市西　區湖邊里２２鄰文化路５５９－１１號１樓","410099,524100,782000,","02-AUG-20","","","","",""
"12708613","昌億預拌混凝土有限公司","澎湖縣湖西鄉尖山村尖山85號","null","0891124","澎湖縣湖西鄉尖山村８５號","461212,461213,461999,771100","02-AUG-20","","","","",""
"12714734","世偵有限公司","嘉義市西區大溪里大溪路591巷26號1樓","0","0891205","嘉義市西　區大溪里大溪路５９１巷２６號１樓","433115,433112,281099,340099","02-AUG-20","","","","",""
"12715656","吉立伊貝實業股份有限公司","嘉義縣民雄鄉北斗村成功二街37號","10000000","0891206","嘉義縣民雄鄉北斗村０２６鄰成功二街３７號","193015,193099,199099,485299","02-AUG-20","","","","安諾萊雅,B BARPHIL FASHION COLOR MAKE UP,ANOLYA,巴菲爾時尚彩妝,","2019-11-22"
"12717850","上磊企業有限公司","屏東縣里港鄉過江村仁愛路８１巷６２弄１４號１樓","null","0891211","屏東縣里港鄉過江村仁愛路８１巷６２弄１４號","461214,429011,,","02-AUG-20","","","","",""
"12719040","鍾成工業有限公司","屏東縣內埔鄉美和村學人路250巷52號","0","0891212","屏東縣內埔鄉美和村學人路２５０巷５２號","433211,433111,952312,464919","02-AUG-20","","","","",""
"12719359","東琪百貨有限公司","屏東縣新園鄉港西村興安路15號","0","0891212","屏東縣新園鄉港西村３鄰興安路１５號","456999,456799,457299,259999","02-AUG-20","","","","東琪百貨樂意,D A GO,","2019-11-22"
"12719479","崇霖企業股份有限公司","屏東縣萬丹鄉萬丹路三段191巷57號","100000000","0891212","屏東縣萬丹鄉廣安村萬丹路三段１９１巷５７號","140200,530100,461113,140111","02-AUG-20","","","","",""
"12735105","頵銘實業有限公司","嘉義市西區保安里興達路592巷3號8樓之2","0","0900111","嘉義市西　區保福里興達路５９２巷３號８樓之２","252100,242112,464211,243100","02-AUG-20","","","","KMI,頵銘,欽龍,KLI,","2019-11-22"
"12736202","大將國際開發股份有限公司","嘉義市西區民生南路935號","5200000","0900112","嘉義市西　區湖內里民生南路９３５號","130311,455214,487113,473211","02-AUG-20","","","","瑪思達,OMNIPOTENT,SPORT KING,運動王,TAISHOW,SH OMNIPOTENT,SHAPA,大將,MASDAR,夏帕,","2019-11-22"
"12736316","仁宏金企業有限公司","屏東縣屏東市橋南里工業三路9號","0","0900112","屏東縣屏東市橋南里工業三路９號","220212,220913,461915,469999","02-AUG-20","","","","",""
"12736322","亞護開發股份有限公司","嘉義縣大林鎮中坑里大埔美園區二十路5號","50000000","0900112","嘉義縣大林鎮中坑里００１鄰大埔美園區二十路５號","332900,303099,465311,464915","02-AUG-20","","","","SIGMA CARE,B LIFE,","2019-11-22"
"12738052","南宜仕股份有限公司","嘉義市下埤里頂埤50之3號","20000000","0900117","嘉義市西　區下埤里下埤路１１０號１樓","458299,464915,521000,","02-AUG-20","","","","",""
"12746530","倡揚股份有限公司","屏東縣屏東市大武里武愛街96號","5000000","0900212","屏東縣屏東市大武里武愛街９６號１樓","381111,382111,461214,","02-AUG-20","","","","",""
"12749115","長興隆包裝有限公司","嘉義縣溪口鄉林腳村柴林腳166之4號","0","0900216","嘉義縣溪口鄉林腳村柴林腳１６６─４號","469914,485214,740999,458111","02-AUG-20","","","","",""
"12749430","亞洲虎食品股份有限公司","嘉義縣太保市嘉太工業區和順路6號","40000000","0900216","嘉義縣太保市過溝里１５鄰嘉太工業區和順路６號","089799,454400,453311,454211","02-AUG-20","","","","ASIA TIGER FOOD,","2019-11-22"
"12753341","華安義肢矯具有限公司","屏東縣屏東市瑞光路3段92號","null","0900222","屏東縣屏東市華山里２５鄰瑞光路３段９２號","474924,464918,,","02-AUG-20","","","","",""
"12753623","勝豐行有限公司","屏東縣萬丹鄉四維村四維東路312巷76號","null","0900223","屏東縣萬丹鄉四維村３鄰四維東路３１２巷７６號１樓","454921,485222,,","02-AUG-20","","","","",""
"12758731","仁勝工業有限公司","嘉義縣義竹鄉龍蛟村龍蛟潭186附1號","null","0900227","嘉義縣義竹鄉龍蛟村龍蛟潭１８６附１號","086214,340099,292111,464311","02-AUG-20","","","","",""
"12759062","翔笙精密工業有限公司","屏東縣潮州鎮蓬萊里太平路720-10號","null","0900306","屏東縣潮州鎮蓬萊里太平路７２０－１０號","464211,464111,464999,","02-AUG-20","","","","",""
"12763501","煌翊企業有限公司","屏東縣竹田鄉履豐村豐振路46之1號","0","0900313","屏東縣竹田鄉履豐村豐振路４６－１號１樓","461511,432000,461999,434011","02-AUG-20","","","","",""
"12764430","富康企業有限公司","嘉義縣六腳鄉豐美村港尾寮189之2號","0","0900314","嘉義縣六腳鄉豐美村港尾寮１８９─２號","456799,461515,457299,461999","02-AUG-20","","","","仕朸安,SHI LI AN,","2019-11-22"
"12767507","龍鋒實業有限公司","屏東縣九如鄉東寧村東寧路3號","0","0900319","屏東縣九如鄉東寧村東寧路３號","472914,,,","02-AUG-20","","","","",""
"12767886","勇得企業有限公司","嘉義縣民雄鄉興南村工業三路20之2號","0","0900320","嘉義縣民雄鄉興南村３鄰工業三路２０－２號","465311,465314,464999,293200","02-AUG-20","","","","",""
"12775149","城岡有限公司","屏東縣東港鎮興東里中正路二段61巷36號","0","0900330","屏東縣東港鎮興東里中正路２段６１巷３６號","461516,,,","02-AUG-20","","","","",""
"12775289","璦快得建材有限公司","屏東縣內埔鄉豐田村建國路26號1樓","0","0900330","屏東縣內埔鄉豐田村４鄰建國路２６號１樓","461211,233300,461214,461599","02-AUG-20","","","","",""
"12776294","茂特隆股份有限公司","嘉義市西區紅瓦里重慶二街168號","2000000","0900402","嘉義市西　區紅瓦里重慶二街１６８號１樓","220999,,,","02-AUG-20","","","","",""
"12779617","順宥欣雷射工業股份有限公司","嘉義縣民雄鄉北斗村中正路48之1號","32000000","0900409","嘉義縣民雄鄉北斗村２６鄰中正路４８－１號","254999,464999,461599,464999","02-AUG-20","","","","",""
"12779905","嘉正不銹鋼有限公司","嘉義市西區北湖里北社尾路226巷100號附8","0","0900409","嘉義市西　區北湖里北社尾路２２６巷１００號附８","461515,461516,254911,","02-AUG-20","","","","",""
"12782900","合賓科技股份有限公司","嘉義市西區頭港里玉山路962號1樓","1000000","0900412","嘉義市西　區頭港里玉山路９６２號１樓","465311,439014,464999,771100","02-AUG-20","","","","",""
"12787877","好鼎不動產租賃股份有限公司","嘉義縣民雄鄉北斗村成功一街3號","42000000","0900420","嘉義縣民雄鄉北斗村成功一街３號","681112,,,","02-AUG-20","","","","",""
"12793575","中興國際家具股份有限公司","嘉義縣民雄鄉福樂村4鄰成功三街29號","60000000","0900430","嘉義縣民雄鄉福樂村４鄰成功三街２９號","322000,251299,456113,434011","02-AUG-20","","","","",""
"12794188","信合生醫有限公司","嘉義市西區興業西路85號地下一樓","0","0900501","嘉義市西　區美源里興業西路８５號地下１樓","457113,760999,721000,723000","02-AUG-20","","","","",""
"12797517","傑鵬實業有限公司","嘉義市重興里興達路一三五巷一五號","null","0900507","嘉義市西　區重興里興達路１３５巷１５號１樓","461515,461516,464320,439099","02-AUG-20","","","","",""
"12799971","秀貴企業有限公司","嘉義市檜村里十三鄰共和路四０八號","null","0900510","嘉義市東　區林森里共和路４０８號１樓","464112,458399,433112,","02-AUG-20","","","","",""
"12801821","品丞企業股份有限公司","嘉義縣大林鎮中坑里大埔美園區20路1號","28000000","0900511","嘉義縣大林鎮中坑里００１鄰大埔美園區二十路１號","461515,322000,254411,","02-AUG-20","","","","",""
