"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"04397828","善獲山礦業股份有限公司","花蓮縣吉安鄉東昌村東里十五街33號","2000000","0621204","花蓮縣吉安鄉東昌村東里十五街３３號","060099,232999,,","02-AUG-20","","","","",""
"04648780","台鼎水泥製品股份有限公司","花蓮縣壽豐鄉溪口村新站6號","12000000","0650618","花蓮縣壽豐鄉溪口村新站６號","233300,233200,461211,","02-AUG-20","","","","",""
"04800519","新發礦業有限公司","花蓮縣壽豐鄉池南村池南路3段65號","null","0680914","花蓮縣壽豐鄉池南村５鄰池南路３段６５號","060099,485216,183099,","02-AUG-20","","","","MGO,","2019-11-22"
"06234167","啟欣礦業有限公司","花蓮縣花蓮市民政里中興路249號","0","0741114","花蓮縣花蓮市民政里中興路２４９號３樓","060011,060099,461211,461311","02-AUG-20","","","","",""
"07718318","保德大理石企業股份有限公司","花蓮縣花蓮市民心里3鄰美工八街17號","95000000","0730106","花蓮縣花蓮市民心里美工八街１７號","234011,451099,432000,711112","02-AUG-20","","","","",""
"08096909","臺東縣農產股份有限公司","臺東縣臺東市豐原里中華路4段861巷350號","28720000","0740426","臺東縣臺東市豐原里中華路４段８６１巷３５０號","689112,081111,454211,454112","02-AUG-20","","","","GOGO TAITUNG,購夠,","2019-11-22"
"08121837","花蓮縣農產運銷股份有限公司","花蓮縣鳳林鎮林榮里林榮路338號","3000000","0740722","花蓮縣鳳林鎮林榮里林榮路３３８號","451011,,,","02-AUG-20","","","","",""
"08126761","松範工業有限公司","花蓮縣花蓮市富強路114號1樓","0","0740611","花蓮縣花蓮市國裕里６９鄰富強路１１４號１樓","461511,461599,464913,433113","02-AUG-20","","","","",""
"08126951","露寶有限公司","花蓮縣花蓮市福建街一一五號","null","0741216","花蓮縣花蓮市主安里福建街１１５號","472914,472911,454611,","02-AUG-20","","","","",""
"12108630","世易水泥股份有限公司","花蓮縣新城鄉順安村北三棧49之1號","932500000","0630611","花蓮縣新城鄉順安村北三棧４９─１號","461211,060099,670012,681112","02-AUG-20","","","","",""
"12208201","理建礦業股份有限公司","花蓮縣花蓮市國盛里國民七街53號11樓之2","6000000","0670825","花蓮縣花蓮市國盛里４鄰國民七街５３號１１樓之２","060016,461214,461999,","02-AUG-20","","","","",""
"12212177","博善室內裝修有限公司","花蓮縣吉安鄉吉安村吉昌二街300巷20號1樓","0","0671103","花蓮縣吉安鄉吉安村吉昌二街３００巷２０號１樓","253112,740100,381211,370000","02-AUG-20","","","","",""
"12607235","協和開發有限公司","花蓮縣花蓮市中美路117號8樓之2","null","0890829","花蓮縣花蓮市民政里１鄰中美路１１７號８樓之２","461213,461311,461211,461313","02-AUG-20","","","","",""
"12622340","東寰科技工程有限公司","花蓮縣吉安鄉北昌村建昌路205巷3號","null","0890925","花蓮縣吉安鄉北昌村建昌路２０５巷３號","432000,433900,711112,524100","02-AUG-20","","","","",""
"12644554","永昌宏有限公司","花蓮縣花蓮市民心里7鄰美工四街7號","null","0891031","花蓮縣花蓮市民心里７鄰美工四街７號","461999,461516,464320,458111","02-AUG-20","","","","","2019-11-22"
"12754242","元吉利有限公司","花蓮縣吉安鄉東昌村東里十一街6號1樓","null","0900223","花蓮縣吉安鄉東昌村１１鄰東里十一街６號１樓","562012,782000,472911,089917","02-AUG-20","","","","",""
"12772136","台宙營造有限公司","花蓮縣花蓮市主農里長春街32巷2弄30號","0","0900326","花蓮縣花蓮市主農里１１鄰長春街３２巷２弄３０號","439012,,,","02-AUG-20","","","","",""
"12893429","山野屋食品企業有限公司","臺東縣臺東市知本里富裕路501巷31弄2號","0","0900903","臺東縣臺東市知本里富裕街５０１巷３１弄２號","454919,454915,454700,472914","02-AUG-20","","","","",""
"12900701","信華農特產股份有限公司","臺東縣臺東市正氣北路440號1樓","14980000","0900919","臺東縣臺東市豐樂里正氣北路４４０號","454611,083012,089714,091900","02-AUG-20","","","","FLYING FISH COOKIE,飛飛飛魚餅,向陽春,","2019-11-22"
"12901217","曾記糬股份有限公司","花蓮縣花蓮市主和里廣東街96、98號1樓","29000000","0900920","花蓮縣花蓮市主和里２１鄰廣東街９６及９８號１樓","089199,472999,,","02-AUG-20","","","","",""
"12903263","連峰石材有限公司","花蓮縣花蓮市國強里中央路4段323-1號1樓","null","0900925","花蓮縣花蓮市國強里中央路４段３２３－１號１樓","469916,461311,461312,","02-AUG-20","","","","",""
"12907578","温伯力生物科技股份有限公司","花蓮縣鳳林鎮鳳仁里中正路二段349號1樓","5000000","0901003","花蓮縣鳳林鎮鳳仁里中正路二段３４９號１樓","013013,011911,089699,487112","02-AUG-20","","","","",""
"12913184","花蓮真情食品股份有限公司","花蓮縣花蓮市民享里26鄰華廈街40號4樓之五","22000000","0901016","花蓮縣花蓮市民享里０２６鄰華?街４０號４樓之５","454700,454999,475299,","02-AUG-20","","","","海鑽,海洋珍鑽,海洋精靈,海洋倍麗,","2019-11-22"
"12923562","東朔有限公司","臺東縣臺東市自強里新生路384號1樓","0","0901106","臺東縣臺東市自強里新生路３８４號","474925,464499,476299,483112","02-AUG-20","","","","",""
"12995024","川磊實業股份有限公司","臺東縣東河鄉都蘭村那界66號","15358500","0901218","臺東縣東河鄉都蘭村那界６６號","472112,472212,,","02-AUG-20","","","","","2019-11-22"
"12999653","唐采邑實業有限公司","花蓮縣吉安鄉吉祥四街１號２樓","0","0901227","花蓮縣吉安鄉宜昌村２１鄰吉祥四街１號２樓","252299,431011,481014,760912","02-AUG-20","","","","",""
"13006323","達宸營造有限公司","臺東縣臺東市南一街80巷15號1樓","0","0910108","臺東縣臺東市卑南里南一街８０巷１５號１樓","060099,233200,233300,410013","02-AUG-20","","","","",""
"13012802","展憲企業有限公司","臺東縣成功鎮忠仁里麒麟路200號","null","0910118","臺東縣成功鎮忠仁里麒麟路２００號","233200,060099,461214,461516","02-AUG-20","","","","",""
"13031391","新守集石業有限公司","花蓮縣花蓮市國盛里國興五街22號1樓","0","0910222","花蓮縣花蓮市國盛里國興五街２２號１樓","439099,234011,234099,481014","02-AUG-20","","","","",""
"13054014","中華三商企業股份有限公司","臺東縣池上鄉福原村中華南路93號","10000000","0910328","臺東縣池上鄉福原村中華南路９３號","681211,681212,771100,432000","02-AUG-20","","","","三商房屋,","2019-11-22"
"13066497","堃豐實業有限公司","臺東縣臺東市豐田里中興路四段2巷115號","null","0910415","臺東縣臺東市豐田里中興路４段２巷１１５號","233300,232100,,","02-AUG-20","","","","",""
"13073336","後山園企業有限公司","臺東縣臺東市南榮里志航路一段477巷71號1樓","0","0910422","臺東縣臺東市南榮里志航路１段４７７巷７１號１樓","561115,620111,160213,475299","02-AUG-20","","","","",""
"13080239","一八文化休閒開發有限公司","臺東縣臺東市傳廣路198號1樓","0","0910430","臺東縣臺東市民族里傳廣路１９８號１樓","702099,782000,820211,820212","02-AUG-20","","","","",""
