"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00726593","聲林實業股份有限公司","桃園市楊梅區青年路二段98號","5000000","0730710","桃園市楊梅區高上里３鄰青年路２段９８號","292999,,,","02-AUG-20","","","","",""
"01129362","晟和有限公司","桃園市蘆竹區宏竹里12鄰大竹北路591號","0","0741216","桃園市蘆竹區宏竹里１２鄰大竹北路５９１號","303011,292999,451099,251299","02-AUG-20","","","","THM,晟和,","2019-11-22"
"01175457","信統電產股份有限公司","桃園市觀音區富林里成功路二段927號","250000000","0740730","桃園市觀音區富林里成功路二段９２７號","281011,269999,,","02-AUG-20","","","","信統,SOLEN,SOLENTEC,","2019-11-22"
"01458440","衛肯生技製藥股份有限公司","桃園市平鎮區工業十路15號","250000000","0730501","桃園市平鎮區湧安里工業十路１５號","457112,200211,457299,193099","02-AUG-20","","","","WEL CAN,衛肯,","2019-11-22"
"01809500","嘉陽紙器有限公司","桃園市龜山區萬壽路一段492之20號1樓","0","0740913","桃園市龜山區龍華里萬壽路１段４９２─２０號１樓","152011,152099,,","02-AUG-20","","","","",""
"01861408","愛加食品有限公司","桃園市龍潭區烏林里中豐路533巷146弄67號1樓","0","0731205","桃園市龍潭區烏林里中豐路５３３巷１４６弄６７號１樓","089499,681112,,","02-AUG-20","","","","皇品,CONNIE S,AIJIA,AIJIA A,CHITZ,愛加,","2019-11-22"
"01887131","鋐達企業股份有限公司","桃園市八德區福德一路62巷42號","228627200","0741114","桃園市八德區大明里福德一路６２巷４２號１樓","251211,269999,,","02-AUG-20","","","","HT,","2019-11-22"
"01978049","世豐牙板有限公司","桃園市龜山區文化里華亞三路26號1、2樓","0","0740624","桃園市龜山區文化里華亞三路２６號１、２樓","259100,251299,461515,","02-AUG-20","","","","",""
"01988623","宇邦企業有限公司","桃園市蘆竹區海湖里海湖東路239巷9號","null","0741126","桃園市蘆竹區海湖里海湖東路２３９巷９號","292999,269999,464999,","02-AUG-20","","","","YU BUNG,","2019-11-22"
"02083462","海外玻璃纖維製品有限公司","桃園市蘆竹區內厝里長興路三段229巷18號","0","0741003","桃園市蘆竹區內厝里１３鄰長興路３段２２９巷１８號","185099,,,","02-AUG-20","","","","",""
