"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"00410406","台明汽車貨運股份有限公司","高雄市大寮區內坑路158之79號","35000000","0541020","高雄市大寮區內坑里內坑路１５８－７９號","494099,382112,432000,","02-AUG-20","","","","TM,","2019-11-22"
"01129449","強新實業股份有限公司","高雄市鳳山區五福二路66號","15000000","0741219","高雄市鳳山區五福里五福二路６６號４樓","434013,432000,461911,461516","02-AUG-20","","","","",""
"03025315","天祥通運股份有限公司","高雄市大社區和平路1段310巷16之1號1樓","20000000","0570316","高雄市大社區保安里和平路一段３１０巷１６－１號１樓","494099,,,","02-AUG-20","","","","",""
"03322504","建台水泥股份有限公司","高雄市苓雅區意誠里自強三路3號13樓之10","162807060","0550105","高雄市苓雅區意誠里自強三路３號１３樓之１０","233100,461513,,","02-AUG-20","","","","雙象牌,SKY TOWER CHIEN TAI DEPARTMENT STORE,TWO ELEPHANTS,建台百貨,","2019-11-22"
"03533402","綠野觀光汽車股份有限公司","高雄市前金區新盛一街9之13號","28000000","0691010","高雄市前金區長興里新盛一街９─１３號","493912,456199,474199,","02-AUG-20","","","","",""
"04211978","國際農畜股份有限公司","高雄市路竹區中華路518號","25000000","0620929","高雄市路竹區文南里中華路５１８號１樓","081212,089999,,","02-AUG-20","","","","IMP,櫻之味,","2019-11-22"
"04378723","至美電器股份有限公司","高雄市大寮區大有二街7號","20000000","0620306","高雄市大寮區大寮里大有二街７號","262000,,,","02-AUG-20","","","","UNICON,PA-CON,GEMCON,","2019-11-22"
"04416888","金星儲運企業股份有限公司","高雄市前鎮區南衙路85巷7號1樓","25000000","0630416","高雄市前鎮區明義里南衙路８５巷７號１樓","494099,464999,,","02-AUG-20","","","","",""
"04532578","天原室內裝修企業有限公司","高雄市小港區明聖街245巷2之1號2樓","null","0621101","高雄市小港區中厝里明聖街２４５巷２─１號２樓","433212,433112,433111,439099","02-AUG-20","","","","",""
"04609111","三木工程股份有限公司","高雄市大寮區華中路30號","30000000","0621203","高雄市大寮區過溪里華中路３０號","462099,,,","02-AUG-20","","","","三,SAM BOND,","2019-11-22"
