,Count
南投縣,53
嘉義市,12
嘉義縣,65
基隆市,8
宜蘭縣,51
屏東縣,60
彰化縣,345
新北市,630
新竹市,92
新竹縣,132
桃園市,481
臺中市,483
臺北市,427
臺南市,276
臺東縣,9
花蓮縣,13
苗栗縣,88
雲林縣,85
高雄市,293
"[0, 1000000)",1258
"[1000000, 2000000)",73
"[2000000, 3000000)",39
"[3000000, 4000000)",51
"[4000000, 5000000)",13
"[5000000, 6000000)",159
"[6000000, 7000000)",45
"[7000000, 8000000)",23
"[8000000, 9000000)",27
"[9000000, 10000000)",12
"[10000000, 11000000)",125
"[11000000, 12000000)",7
"[12000000, 13000000)",30
"[13000000, 14000000)",14
"[14000000, 15000000)",9
"[15000000, 16000000)",58
"[16000000, 17000000)",11
"[17000000, 18000000)",8
"[18000000, 19000000)",17
"[19000000, 20000000)",1
"[20000000, 21000000)",70
"[21000000, 22000000)",11
"[22000000, 23000000)",7
"[23000000, 24000000)",9
"[24000000, 25000000)",10
"[25000000, 26000000)",38
"[26000000, 27000000)",11
"[27000000, 28000000)",12
"[28000000, 29000000)",30
"[29000000, 30000000)",49
"[30000000, 31000000)",30
"[31000000, 32000000)",2
"[32000000, 33000000)",4
"[33000000, 34000000)",2
"[34000000, 35000000)",2
"[35000000, 36000000)",14
"[36000000, 37000000)",12
"[37000000, 38000000)",0
"[38000000, 39000000)",5
"[39000000, 40000000)",10
"[40000000, 41000000)",16
"[41000000, 42000000)",3
"[42000000, 43000000)",7
"[43000000, 44000000)",2
"[44000000, 45000000)",1
"[45000000, 46000000)",12
"[46000000, 47000000)",3
"[47000000, 48000000)",3
"[48000000, 49000000)",5
"[49000000, 50000000)",3
"[50000000, 51000000)",54
"[51000000, 52000000)",4
"[52000000, 53000000)",6
"[53000000, 54000000)",5
"[54000000, 55000000)",1
"[55000000, 56000000)",4
"[56000000, 57000000)",2
"[57000000, 58000000)",2
"[58000000, 59000000)",8
"[59000000, 60000000)",1
"[60000000, 61000000)",24
"[61000000, 62000000)",3
"[62000000, 63000000)",0
"[63000000, 64000000)",3
"[64000000, 65000000)",3
"[65000000, 66000000)",9
"[66000000, 67000000)",9
"[67000000, 68000000)",0
"[68000000, 69000000)",2
"[69000000, 70000000)",2
"[70000000, 71000000)",15
"[71000000, 72000000)",3
"[72000000, 73000000)",7
"[73000000, 74000000)",1
"[74000000, 75000000)",2
"[75000000, 76000000)",12
"[76000000, 77000000)",1
"[77000000, 78000000)",1
"[78000000, 79000000)",5
"[79000000, 80000000)",1
"[80000000, 81000000)",19
"[81000000, 82000000)",6
"[82000000, 83000000)",2
"[83000000, 84000000)",4
"[84000000, 85000000)",2
"[85000000, 86000000)",4
"[86000000, 87000000)",0
"[87000000, 88000000)",1
"[88000000, 89000000)",2
"[89000000, 90000000)",3
"[90000000, 91000000)",9
"[91000000, 92000000)",0
"[92000000, 93000000)",3
"[93000000, 94000000)",1
"[94000000, 95000000)",2
"[95000000, 96000000)",6
"[96000000, 97000000)",3
"[97000000, 98000000)",1
"[98000000, 99000000)",0
