統一編號,公司名稱,公司地址,實收資本額,核准設立日期,營業地址（財政資訊中心匯入）,行業代號（財政資訊中心匯入）,財政資訊中心匯入日期,股票代號（金融監督管理委員會匯入）,產業別（金融監督管理委員會匯入）,金融監督管理委員會匯入日期,商標資料（智慧財產局匯入）,智慧財產局匯入日期
4285680,東行纖維工業股份有限公司,桃園市桃園區南華里文化街67號4樓,5000000.0,620216.0,桃園市桃園區南華里文化街６７號４樓,"681112,111299,112299,181099",02-AUG-20,,,,,
7053500,中孚染料股份有限公司,桃園市蘆竹區瓦窯里南山路一段418號,102600000.0,400109.0,桃園市蘆竹區瓦窯里００９鄰南山路一段４１８號,"181099,455999,192011,",02-AUG-20,,,,,
12642704,綠固科技股份有限公司,桃園市楊梅區電研路190巷208號,27000000.0,891027.0,桃園市楊梅區高榮里電研路１９０巷２０８號,"461400,192011,181099,",02-AUG-20,,,,"GREENCURE,",2019-11-22
12660131,昱鐳光電科技股份有限公司,桃園市中壢區民權路三段334巷56號(1樓),418000000.0,891030.0,桃園市中壢區永光里民權路３段３３４巷５６號１樓,"269999,464299,181014,462099",02-AUG-20,,,,"E-RAY OPTOELECTRONICS,E RAY,昱鐳光電,",2019-11-22
12753813,元瀚生化科技股份有限公司,桃園市觀音區廣興里坑子背14號,10000000.0,900223.0,桃園市觀音區廣興里４鄰坑子背１４號,"457113,457299,199099,181099",02-AUG-20,,,,,
12898655,慶揚實業股份有限公司,桃園市平鎮區南東路50巷6號,35000000.0,900912.0,桃園市平鎮區南勢里南東路５０巷６號,"181099,456799,462015,454612",02-AUG-20,,,,"CY,慶揚,",2019-11-22
12924823,大銨創新科技股份有限公司,桃園市新屋區永安里永福路720號,16000000.0,901109.0,桃園市新屋區永安里０１２鄰永福路７２０號,"199099,462099,181099,",02-AUG-20,,,,,
15894766,欣台化工有限公司,桃園市觀音區富林里工業七路19號,0.0,700715.0,桃園市觀音區富林里工業七路１９號,"181099,,,",02-AUG-20,,,,,
16207386,台灣淯倫有限公司,桃園市龍潭區高楊南路320巷2號,0.0,860827.0,桃園市龍潭區高平里高楊南路３２０巷２號,"181099,199012,462015,462017",02-AUG-20,,,,"PFPI,MPI,SOFTLAND,GREENCHEM,",2019-11-22
16275530,生揚化工原料股份有限公司,桃園市桃園區泰山里宏昌六街18之1號(5樓),78000000.0,861124.0,桃園市桃園區泰山里宏昌六街１８之１號５樓,"181099,193012,199099,191012",02-AUG-20,,,,"生揚,舒利清,SY,速立清,菌克清,",2019-11-22
16511909,金再昇股份有限公司,桃園市觀音區樹林里國建三路7之7號,15000000.0,870527.0,桃園市觀音區樹林里國建三路７－７號,"254411,469999,181099,",02-AUG-20,,,,"ANLACE,",2019-11-22
16705686,磐采股份有限公司,桃園市龜山區文明三街12號,321334940.0,871201.0,桃園市龜山區樂善里１５鄰文明三街１２號,"192013,269999,181099,461400",02-AUG-20,4765.0,化學工業,2020-08-26 00:00:00.0,"PCI,RADSET,PANCURE,",2019-11-22
16911264,雙慶化工股份有限公司,桃園市觀音區國光路10號,28000000.0,880506.0,桃園市觀音區樹林里１３鄰國光路１０號,"181099,249999,254411,370000",02-AUG-20,,,,,
16968271,台灣亨斯邁化學工業股份有限公司,桃園市觀音區樹林里工業三路19號,35000000.0,880727.0,桃園市觀音區樹林里工業三路１９號,"184199,181015,,",02-AUG-20,,,,,
20807904,伯馬企業有限公司,桃園市大園區三民路二段831號,0.0,671213.0,桃園市大園區?林里００１鄰三民路二段８３１號,"184200,181099,,",02-AUG-20,,,,"彩粧,PUTTY BUN,PERMA-CEMET,YUMEN LOCK,FUN TAK, F,GLUE DEPOT,伯馬樂固,RERMA-CEMET,易利修,粒即修,A B EPOXYPUTTY,伯馬,魔矽,EZ D.I.Y. EASY YOUR LIFE,A B EPOXY PUTTY,萬貼,優固,塑鋼蛋,",2019-11-22
22486822,百竟工業股份有限公司,桃園市龜山區萬壽路一段492之1號6樓之3,50000000.0,760427.0,桃園市龜山區龍華里萬壽路一段４９２─１號６樓之３,"464299,269999,181015,",02-AUG-20,,,,,
22705474,福笠實業股份有限公司,桃園市平鎮區雙連里民族路雙連二段118巷53弄46號,3000000.0,770104.0,桃園市平鎮區雙連里民族路雙連２段１１８巷５３弄４６號,"220999,210999,181015,192013",02-AUG-20,,,,,
23074691,巨龍化成興業有限公司,桃園市八德區成功街235巷7號,0.0,771011.0,桃園市八德區白鷺里成功街２３５巷７號１樓,"181099,462017,,",02-AUG-20,,,,,2019-11-22
23197342,天瑛股份有限公司,桃園市蘆竹區長興里長興路四段283號,101000000.0,780209.0,桃園市蘆竹區長興里００３鄰長興路四段２８３號,"199099,181099,183099,087000",02-AUG-20,,,,,
23540726,笙華企業有限公司,桃園市中壢區長沙路201號,,781130.0,桃園市中壢區信義里長沙路２０１號１樓,"462099,457199,457113,181099",02-AUG-20,,,,,
23648162,清英實業有限公司,桃園市桃園區會稽里寶山街58巷17號14樓,0.0,790522.0,桃園市桃園區大有里寶山街５８巷１７號１４樓,"181099,,,",02-AUG-20,,,,,
24239691,展英科技股份有限公司,桃園市桃園區福林里陽明七街13號,5000000.0,970925.0,桃園市桃園區福林里陽明七街１３號１樓,"462099,462017,462099,181099",02-AUG-20,,,,,
24256614,鴻鹿實業股份有限公司,桃園市桃園區中平里壽昌街20巷41弄22號,5000000.0,971028.0,桃園市桃園區中平里２１鄰壽昌街２０巷４１弄２２號,"462017,462099,462099,181099",02-AUG-20,,,,,
24404122,安里其國際貿易有限公司,桃園市桃園區三元里民光東路83之3號3樓,0.0,980512.0,桃園市桃園區三元里民光東路８３－３號３樓,"181099,462017,,",02-AUG-20,,,,,
24415845,科宏精密有限公司,桃園市中壢區永福648號1樓,0.0,980603.0,桃園市中壢區中山里永福路６４８號１樓,"462099,462099,181099,",02-AUG-20,,,,,
24614176,台灣電荷科技有限公司,桃園市楊梅區員本里民有路二段500巷2號,,1030625.0,桃園市楊梅區員本里００８鄰民有路二段５００巷２號,"462099,181014,,",02-AUG-20,,,,"IONPLUS IONPLUS TECHNOLOGY CO LTD,",2019-11-22
24632147,洤順科技股份有限公司,桃園市中壢區文化里長春二路168號,47478790.0,1030829.0,桃園市中壢區文化里長春二路１６８號,"184199,181099,192013,184200",02-AUG-20,,,,,
24721788,光妍科技股份有限公司,桃園市蘆竹區內厝里安中街12巷1號,27000000.0,1040119.0,桃園市蘆竹區內厝里安中街１２巷１號,"193099,462017,181099,",02-AUG-20,,,,"U,NIDO,COSPLUS,COSPLUS C,",2019-11-22
24851135,台灣創新材料股份有限公司,桃園市蘆竹區民權路50號(5樓),292090000.0,1031209.0,桃園市蘆竹區南崁里民權路５０號５樓,"111999,181099,181014,184200",02-AUG-20,,,,"TANTTI,",2019-11-22
25022229,中清開發有限公司,桃園市大溪區仁和里仁和路一段301號,0.0,980828.0,桃園市大溪區仁和里１７鄰仁和路１段３０１號,"181015,199099,181099,232999",02-AUG-20,,,,,
25068462,和興鴻業有限公司,桃園市中壢區過嶺里福祥路259巷6號,,981113.0,桃園市中壢區過嶺里福祥路２５９巷６號,"181099,,,",02-AUG-20,,,,,
25098058,祥德材料股份有限公司,桃園市大園區圳頭里古亭路266號,5000000.0,981229.0,桃園市大園區圳頭里１０鄰古亭路２６６號,"199099,462017,181099,",02-AUG-20,,,,,
25153426,嘉利機科技股份有限公司,桃園市觀音區成功路一段509號1樓,24750000.0,990108.0,桃園市觀音區草漯里成功路１段５０９號１樓,"181015,239999,,",02-AUG-20,,,,,
27420949,永峯科技股份有限公司,桃園市大園區工四路17號,12800000.0,930811.0,桃園市大園區北港里工四路１７號,"181099,181099,462099,",02-AUG-20,,,,,
